facilities = 30 objectives = 2 max_distances = 100 max flows = 100 correlation = -0.300000 seed = 1137189344
 0  6  5 96 74 86 39 100 88 64 97 69 28 43 25  7 30  4 36 20 67 30 66 44 15 26  2  4 97 68 
 6  0 87 67 80 66 85  1 49  9 20 76 37 62  2 37 92 91 75 30 72 39 26 21 97 17 14 25 70 45 
 5 87  0  1 14 92  4 31  4 68 16 22 87 37 75 49  1 23 34 93 94 66 59 91 51 55 39 22 57 38 
96 67  1  0 69 13 65 99 53 42 85 68 48 22 60 94 49 70 22 79 42 44 71  9 94 36 99 12 43 44 
74 80 14 69  0 82 45 64 31 33 67 72 46 35 94 93 42 96 25 28 31 58 27 51 20 91 82 87 18 11 
86 66 92 13 82  0 80 100 69 16 56 24 32 60  8 65 33 48 63 27 47 40 14 60 92 62  4 92 92 88 
39 85  4 65 45 80  0 16 70 21 25 24  7 80 95 14 67 91 71 10 16 34 48 49 43 49 38 25 84 75 
100  1 31 99 64 100 16  0  5 72 79 65 28  9 72 19  5 100 88 23 68  6 80 39 90 24 71 77  3 43 
88 49  4 53 31 69 70  5  0 51 54  4 42 80 61 57 18 61 100 60 11 28 47  1 94 87 59 18 98  8 
64  9 68 42 33 16 21 72 51  0 86 90 99 58 12 16 81 67 73 57 99 77 28 90 12 13 36 42 36 29 
97 20 16 85 67 56 25 79 54 86  0 23 19 96 94 17 68 29  8 39 30 19 17 61 47 28 35 40 84 83 
69 76 22 68 72 24 24 65  4 90 23  0 75  9 73 88 63 15 30 55 90 46 81 64 84 15 71 87 70 58 
28 37 87 48 46 32  7 28 42 99 19 75  0 28 55 47 89 36 14 74 22 100 96 89 79 88 33  6 15 79 
43 62 37 22 35 60 80  9 80 58 96  9 28  0 32 56 78 20 38 74 40 76 86 16 18 91 30 85 18  2 
25  2 75 60 94  8 95 72 61 12 94 73 55 32  0 29 40 69 98 30 21 16  7 61 19 79 70 84 79 99 
 7 37 49 94 93 65 14 19 57 16 17 88 47 56 29  0 21 74  8 47 61 13 50 11 20 50 54 78 73 81 
30 92  1 49 42 33 67  5 18 81 68 63 89 78 40 21  0  4 89 100 25 82 71 27 33 46 23 14 60 71 
 4 91 23 70 96 48 91 100 61 67 29 15 36 20 69 74  4  0 37 13 63 70  6 25 97 67 80  4 72 95 
36 75 34 22 25 63 71 88 100 73  8 30 14 38 98  8 89 37  0 87 63 29 18 26 46 25 87 72 90 59 
20 30 93 79 28 27 10 23 60 57 39 55 74 74 30 47 100 13 87  0 62 32  3 71 38 37 16  6 83 22 
67 72 94 42 31 47 16 68 11 99 30 90 22 40 21 61 25 63 63 62  0 46 76 54 66 81 45 35 35 34 
30 39 66 44 58 40 34  6 28 77 19 46 100 76 16 13 82 70 29 32 46  0 86 91 32 81  8 73  4 57 
66 26 59 71 27 14 48 80 47 28 17 81 96 86  7 50 71  6 18  3 76 86  0 39 25 24  4 99 23 14 
44 21 91  9 51 60 49 39  1 90 61 64 89 16 61 11 27 25 26 71 54 91 39  0 58 71 71 43 80 60 
15 97 51 94 20 92 43 90 94 12 47 84 79 18 19 20 33 97 46 38 66 32 25 58  0 84 44 10 10 23 
