facilities = 100 objectives = 2 max_distances = 100 max flows = 100 correlation = 0.500000 seed = 1137708844
 0 19 56 15 96 74 70 94 84 80 71 11 40 80 80 84 75  2 50 19 91 79 54 72 92 50 18 16 23 98 63 14 31 51 41 43 100 52 37 12 16 82 95 42 81 36 46 58 82 27 40 88 50 99 96 75 87 77 41 20 18 12 21 44 70  9 49 97 30 25 14 100 74 51 61 72 13 72 61  2 12 76 89 73 31 81 82 26 68 35  9 72 19 11 68 82 60  5 52 82 
19  0 16 36 18 38  3 37 69 51 52 59 58 67 72 69 49 45  1 28  6 58  7 60 49  3  7 69 37 30  5 70 59 26 88 75 82 78 68 98 14 55 61 53 76 74 32 14 71 52 87 98  1 15 75 83  7 19 68 15 61 54 44 66  3 68 94 35 98 66 68 68 80 48 35 51 87 42 57 11 94 20 34  2 97 96 48  9 74 61 20 93 40 52 87 38 50 62  7 39 
56 16  0 49 47 38 31 92 15 75 15 54 72 61 53 84 64 83 70 22 61 46 35 83 18 32 56 30 68 24 92 12 12 30  7 78 97 69 49 87 39 63 40 70 74 99 34 58 44  6 92 33 10 96 52  1 50 29 48 31  4 78 99 35 44 39 69 93 31 47 77 29 54 77 93 67 69 58 85 18 71 96  2 57 72 53 20 42 48  6 76 11 97 34 38 97 49  4  7 77 
15 36 49  0 92 32 85 91 67 96 27 46 14 78  5  5 43  3 38 41 24 59 93 75 86 84 38 100 55  2 60 55 78 33 89 58 80  1 40 56 51 45 15 16 11 25 91 52  5 85 13 58 39 91 46 78 99 100 81 55 19 61 47 66 49 92 42 15 83 23 26 68  9 35  2 84  6  3 27 72 87 46  7 13 57 88 37 35 75 43 20 35 42 96 44 36 16 61 34 73 
96 18 47 92  0 96 29 63 48 98 83 69 56 87 56 96 79  7 38 97 59 95 44 23 55 75 52 34 71  3 76 29  5 75 60 13 33 98 42 18 78 92  4 30 59 56 78 40  9 63 46 88 31 64 31 59 29 11 49 93 62 72 84 47  2  3 59 12 77 42 75 75 39 81 35 30 35 76 16 89 71 32 96 56 40 21  3 19 45 43 81 14 20 96 14 78 73 70 52 66 
74 38 38 32 96  0  8 43 70 17 100  6 85 65 40 25 40 26 88 85 47 13 23 21 33 46 43 80 48 47 57 70 37  5 62  6 85 54 85 96 47 71 71 33 51 44 68 28 85 11 92 82  7 58  2 83 47 86  4 12 70 69 54 52 74 49 16 13 36  2 76 32 26 63 28 75 97 41 13 99 79 29 91 29 21 52 48 25 88 68 17 55 54  2 45 80 48 53 89 75 
70  3 31 85 29  8  0 72 19 19 67 81 22 76 95 17 74 83 11 89 10 37 22 25 24 52 18 77 55 24 14 56 39 61 43 39 15 15 30 41 49 66  9  9 13 82  8 27 76 97 77 56  2 62 50 60 55 23 41 52 29 80 38 57 59 13 83 44 38 62 100 63 33 19 54 15 54 100 95  5 51 88 46 31 84 92 56 94 83 93 86 48 50 59 75 19 82 35 88 11 
94 37 92 91 63 43 72  0 27 64 27 71 68  4 79 21 12 56 73 80  2 22 76 55  7 81 33 38 47 78 60 50 87 67 11 37 67  5  6 71 54 34 71 69 89 10 75 30 70 22 73  4 35 67 60 74 37 14 35 29 36 87 16 64 84 64 14 72 74 41 58 78 58 80 27 73 89 69 85 15 86 76 20 37 99 72 97 89 80 30 30 69  1  7 72 55 88 60 50 42 
84 69 15 67 48 70 19 27  0 11 31 87 17 18 56 54 58  4 92 43 78 62 29 55 73  8 28  4 23 65 96 71 60 11 18 77 69 99 82 18 66 73 38 99 56 45 51 11 86  4 68 75 78 83 20 54 34 30 34 99 44 48 29 20 30 62 26 31 76 85 51 38 73  6 25 94 48 82 54 35 40 100 35 74 64 20 69 11 59 10 18 20 88 57 95 49 95 31 82 58 
80 51 75 96 98 17 19 64 11  0 56 78 46 12 25  3 50 29 85 20 23 64 81 30 51 74 63 48 46  3 69 42 67 28 98 76 90 27 89 71  5 18 27  3 63 69 81 34 22 94 44 44  6 95 90 75 70 63 33 77 18 50 66 79 65 14 56 15 50 99 67 79 54  8  3 73 60 98 40 17 85  3 36 55 88 82 99  8  3  5 47 48 90 82  9 55 69  7 21 35 
71 52 15 27 83 100 67 27 31 56  0 55 79 83  7 46 14 87 27 80 12 69 85 80 76 23 76  1 29 74 10 100 80 100 39 69 50 34 57 91 68 91 23 58 90 47 70 53 71  7 76 79 47 77 11 53 77 14 61  8 12 70  9 13 81 18  7 97 95 38 74 84  9 43 46 32 88 47 30 64 89  3 50 49 49 20 30 65 31 96 92 50 11 42 85 77 51 11 50 95 
11 59 54 46 69  6 81 71 87 78 55  0 24  3 91  4 46 78 33 37 45 65  6 36 98 48 34 39 11 92 99 72 57 35 74 82 22 41 21 55 35 33 51  7 55 10 15 43 91 16 40 54 40  3 35  5  3 38 14 16 82 16 78 72 75 30  1 88 69 56 56 19 84 93 94 63  6 19 40  2 45 63 10 20 78 14 79 22 81 94 86 19 61  4 36 58 81 100  8  9 
40 58 72 14 56 85 22 68 17 46 79 24  0 16 82 69 34 65  7 73  7 48 71 66 21 45 45 69 90 18 32 70  9 99 15 48 94 18 25 63 83  5 73 58 79 47 64 77 19 44 36 24 65 46 94 94 91 30  5 86 11 88 86 62 14 81 82 52 50 19 100 60 51  6 85 51  8 80 18 54 69 90 25 87 92 55 66 67 86  4 80 37 43 62 23 13 65 67 87 45 
80 67 61 78 87 65 76  4 18 12 83  3 16  0 80 97 72 61 21 94 11 23  1  8 96 28 38 71 37 20 96 63 78 94 81 55 27 34 41 80 10 73 94  9 68 21 23 49 23 98 93 23 82 38 71 45 18 17 63 45 34 77 50 86 67 16 28 36 41 99  3 52 75 18 99 26 33 87 96 83 82 73 54 57  6 11 47 80 43 58 98 74 13 65 51 23 21 58 61 37 
80 72 53  5 56 40 95 79 56 25  7 91 82 80  0 37 49 87 59 92 97 13 83 79 62  9 10 94 95 55 40 74 48 61 77 61 66 88 90 63 94 98 56 55 29  1 41 45 69  1 37 32 83 79 43 22 18 97 87  8 46 79  8 87 78 64 35 98 59 76 19 46  2 45 16 16 77 33 76 93 81 40  8 75 40 12  8 80 26 28 87 96 92 43  7 44 50 53 34 19 
84 69 84  5 96 25 17 21 54  3 46  4 69 97 37  0 69 74 58 12 59 41 60 90 85 89 35 17 18 100 47 53 41  3  1 61 88 32 77 72 26 27 56 52 98 35 54  9 42 29 74 49 96 50 13 44 48 81  3 16 38 35 49 60 22 40 83 45 30 90 44 95 64  4 14 30 29 25 65 44  1 28  7 10 38 53 84 75 58 64 50 90 93 55 21 26 55 81 28 66 
75 49 64 43 79 40 74 12 58 50 14 46 34 72 49 69  0 87 81 56  1 10  2 93  4 40 35 81 22 20 14 64 47 58 54 95 33 32 43 59 72 78 63 98  1  3 67 54 47 54 52 22  6 54 35 20 56 79 15 85 58 84  3  3 40 60 84 36 11 52 47 93 61 14  9 14 24 60 29  5 97 61 59 44 96  7 89 72 88 92 36 55 85 68 67 84  4 68 97 16 
 2 45 83  3  7 26 83 56  4 29 87 78 65 61 87 74 87  0 75 59 44 94 31 60 14 34 95  8 37 20 32 89 82 67 87 92 13 47 30 60 55 82 34 45 41 95 88 11 16 13 80 52 34 57 14 64 45 14 48 47 56 35 53 96 30 77  7 32 62 95 68 49 61 54 42 17 71 92 54  7 93 25 18 26  8 35 78 73 41 95 61 20  5 29 99 17 55 51 99  3 
50  1 70 38 38 88 11 73 92 85 27 33  7 21 59 58 81 75  0 25 65 31 90 85 20 14 71 21 21 10 80 50 25 24 62 79 94 14 40  3 98 16 97 49 67 62  8 95 26 76 71 30 58 89 31 64 49 55 38 78 87  5 27 17 90 85  1 32 91 60 76 31 55 34 13 91 52 16 94 31 65 43 86 51 93 65 57 34 62 71 16 56 58 28  6 32 57 97 99 41 
19 28 22 41 97 85 89 80 43 20 80 37 73 94 92 12 56 59 25  0 77 51 75  3 41 97 65 66 50  4 68 93 64 84 95 21 16 15 86 14 91 100 91 100 92 12 28  2 36 16 89 40 28 81 83 30 95  9 29 18 20 76 47 77 10 26 51 93 38 56 11 86 71 59 69 36 68 38 64 99 99 43 15 82 12 70 77 83 17 21 43 21 37 21 44 32 33 64 58 17 
91  6 61 24 59 47 10  2 78 23 12 45  7 11 97 59  1 44 65 77  0  5 61  2 39 70 43 50 62 58 16 89 32 95 53 25 73 99 55 16 18 22 64 13 24 74 34 72 80 98 33 57 75 31 11 11 95 21 55 70 73  5 11 13 16 29 35 84 72 99  5 29 35 89 65 33 87 70 79 83 52 19 38 17 53 60 51 76 74 87 44 51 31 63  9 76 93 31 55 65 
79 58 46 59 95 13 37 22 62 64 69 65 48 23 13 41 10 94 31 51  5  0 35 67 56 48 83  4 98 97 51 60  4 66 60 100 28 65 71 86  7 92 69 55 45 36 72 46 98 55 16 96 80 63 100 13 83 90 89 71 44 86 96 53 76 37 18 88 82 59 87 63 54 91 10 24 18 37 53  1 75 73 77 24 54 34 99 88  6 33 98 55 69 49  1 43 20 73 85 65 
54  7 35 93 44 23 22 76 29 81 85  6 71  1 83 60  2 31 90 75 61 35  0 16 30 76 96 56 90 52 34 57 59  4 78 18 80 30 78 66 51 35  1 79 35 65 41 92 71 57 60 68 29 100  7 49 69  4 25 56 58 85 92 99 75 47 15 71 10 41 20 90 77 37  6 95 47 61 48 64 21 24 83 82  5  4 20 99  4 19  2 76 14 91 43  6 75 43  1 60 
72 60 83 75 23 21 25 55 55 30 80 36 66  8 79 90 93 60 85  3  2 67 16  0 73 69 88 100 95 36 87 37 70 44 60 41 70 70 23 93 41 97 79 66 38 61 45 24  9 91 72  6 83 28 72 66 70 43  1 11 60 71 35 17  5 74 94 45 100 66 19 35 19 57 88 33 49 61 86 30 21 33 31 25 78 93 68 50 85 42 100 31 89 67 27 94 71 56 70 45 
