facilities = 60 objectives = 2 max_distances = 100 max flows = 100 correlation = -0.800000 seed = 13709200
 0 48 84 17 82 91 95 43 93 98 66 45 98 33 45 18 56  1 30 48 10 60 91 62 36 50 90 90  3 87 98 30  8 56 29 37  1 58  2 49 24 90 54 77 52 36 44 42 33 73 47 53 89 96 51 54 15 58 16 58 
48  0 67 14 25 50 17 76 39 89 15 49 43 98 31 38 33  8  2  1 33 79 66 87 64 14 85 77 37 35 20 62 60 70 94 48 65 27 81 100 15 48 58 29 67  3 84 40 43 89 62 93 37 19 49 42 23 45 10 17 
84 67  0 46 43 51 48 29 69 27 88  7 77 42 11 61 100 96 57 89 88 93 35 52 61 83 44 25 24 30 99 56 81 59  4 43 11 14 79 17 86 20 87 11 10 83 79 90 79 49 27 40 98 44  2 90 80 94 44 51 
17 14 46  0 71  5 28 93 14 77 92 70 24 50 20 69 67 38 30  5 61 51 32 81 94 32  4 92 98 86 55 38 37 96 77 99 80 35 100 82 34 43 26 60 89 85 22 19 86 37 42 23 14 53 13 79 28 32 57 20 
82 25 43 71  0 97 27 62 57 14 93 50 49 15 57 78 22 28 49 36  9 63 64 100 69 20 92 74 80 49 41 68 91 51 90 67 84 10 98 31 82 95 97 87 36 23 16 33  6  9 97 86 87 15 28 76 69 42 16 16 
91 50 51  5 97  0 22 15 49 36 33 62 80 21 93 95 49 80 68 31 100 81 82 60 79 38 76 37 97 21 74 46 68  9 25 80  2  8  8 68 55 33 88 61  4 50 47 55 32  2 50  4  5 18 99 65 59 85  9 11 
95 17 48 28 27 22  0 86  8 53 90 38 65 68 98 41 16 95 52 94 82 45 14 94 98 81 98 16 36 47 37 66  9 10 66 97 78  2 43 29 70 35 95 24 53 83 11 100 37 63 22 42 94 58 14 82 85 93  9 27 
43 76 29 93 62 15 86  0 26 44 41 37 20 10 40 56 77 35 59 61  5 24 94 77 72 49 73 17 97 13 50 53 47 47  4 79 98  8 75 64 49 68 88 77 70 10 87 83 74 100 94 32 16 81 26 77 13 34 89 35 
93 39 69 14 57 49  8 26  0 75  7 67 22 28 41 60 80 88 10 48 64 97 74 86 67 30 46 90 56 24 82 15 46 71 79 73 64 79 22 37 96 87 47 73 67 79 85 80 39 82 58 66 90 91 56 46 42  8 72 26 
98 89 27 77 14 36 53 44 75  0 80 38 38 10 19 30 62 80 97 91 87 90  6 62 61 100 24 11  9 99 34 37 92 44 87 60 14 16 74  6 45 40 20 44 85 62 52 32 78  7 17 90 35 96 77 53 21 15 48 19 
66 15 88 92 93 33 90 41  7 80  0  3 96 53 46 79  3 10 75 72 84 41 17 60 69  4 96  1 21 20 51 71 71 67 31  4 20 33 27 34 52  9 78 59 89 99 18 17 28 77 52 84 29  2 57 67 34 92  8 46 
45 49  7 70 50 62 38 37 67 38  3  0 23 25 84 93 66  1 43 39 27 94 54 56 55 48 15 39 72 16 62 75 25 89 55  9 42 88 64 41 92 30 42 43 30 96 77 42 66 97 86 12 28 75  3 20 83 64 31 92 
98 43 77 24 49 80 65 20 22 38 96 23  0 62 58 11 77 29 55 48 45 93 17 18 98 81 27 56 31 29 76 56  9 13 68  9 77 77  9 40 56  9 57 32 40 36 28 97 89 73 48 41 10 86 72 61 52 11 28  6 
33 98 42 50 15 21 68 10 28 10 53 25 62  0 62  7 34 41  2 89 46 32 62 66 68 33 98  7 88 16  6 59 66 76 49 53 45 68 82 53 72 32 30 33 81 61  6 70 73 91 55 89 77  9 25 40  4 20 87 73 
45 31 11 20 57 93 98 40 41 19 46 84 58 62  0 43  4 90 36 36 58 72 44 72 41 69 18 15 66 74 32  1 23 80  2 98 92 34 95 60 41 100 67 87 95 50 19  1 51 20 20 88 90 23  7 36 100 70 24  1 
18 38 61 69 78 95 41 56 60 30 79 93 11  7 43  0 12 44 53 31 22 62 36  3 72 82 15 97 10 43 78 66 87 18 93  6 81 100 26 19  1 25 92 96 70 49 74 67 37 34 29 26 49 93 10 64  7 78 34 46 
56 33 100 67 22 49 16 77 80 62  3 66 77 34  4 12  0 27 84 60 79 71 27 77 100 38 10 62 87  8 94 74 42 24  2 37 14 10 28 34 66  1 34 20 74 69 29 65 82 30 41 43 30 18 40 52 27 52  1 77 
 1  8 96 38 28 80 95 35 88 80 10  1 29 41 90 44 27  0 79 34 17 75 80 82 46  1 65 82 38 62 26 77 35 18 18 52 97 74 50 28 78 98 82 34 20 33  1 43 43 92 84 64 70 26 84 43  3 57 34 75 
30  2 57 30 49 68 52 59 10 97 75 43 55  2 36 53 84 79  0 84 73 51 41 95 56 18 44 66 61 26 66 29 78 44 16 38 96  3 79  6 38 95 92 81 17 43 89 19 99 12  8 90 43 79  9 72 59 80 93 72 
