facilities = 60 objectives = 2 max_distances = 100 max flows = 100 correlation = -0.300000 seed = 13709194
 0 12 56 36 53 30  3 77 89 95 28 78 60 78 87 21 52 53 35 72 86 35 73 24 23 25 28 41 69 36 32 92 65 53 16 51  4 70 17  3 20  2 55 40 83 26 87 44 53 70 48 36  5 63 72 89  7  9 53 24 
12  0 88 44 58 18 27 43 33 66  6 56 24 95 26 19 57 76  1 47 53 94 75 63 12 71 40 10  7 65  9 99 57 49 13 37 96 90 96 12 60 60 53 69 23 72 17 17  2 32 69 42 73 19 34 18 74 58 58 27 
56 88  0 73 54 71 46 95  9 63 12 14 46 43 73 19 92 78 64 61 31 57 20 32 62 67 75 11 35 100 94 93  5 46 31 18  3 17 32 10  2 27 57 15 51 51 64 30 83 50 34 48 91 24 25 51 84 37 54 46 
36 44 73  0 62 88 22 50 55 99 86 45 11 17 32 60 52 40 27 35 86 25 49 55 92 17 75 45 64 55 79 73 59 24 58 56  1  2  7 54 92 99  6 82 30 14  5 25 95 15 83 59 10 38 81 55 99 10 70 57 
53 58 54 62  0 20  2 66  8 62 98 44 57 71 31 87 61 26 33  7 88 91 25 48 63 65 62 71 35 40 80 95 54 84 82 54 21 53 38 54 13 82 20 41  7 67 41 66 19 77 30 97 76 44 40 29 24 36 68 91 
30 18 71 88 20  0  8 81 37 94 33 96 59 30 31 19 95 18 97  6 49 11 50 11 72 96 65 48 62 29 36 95 61 19 32 72 92 71 73 70 43 48 52 80 67 11 26 32 22  6 33 78 73 63 93 72 78 37 20 66 
 3 27 46 22  2  8  0  8 83 78 54 80 18 46 17 17 95 21 10 37 40 62  6 43 79 12 96 47 71 36 85 84 12 88 56 77 50 30 29 69 31 99 34 17  5 85 51 38 41 78 27 42  6 43 71 94 19 19 91 39 
77 43 95 50 66 81  8  0 24 28 44 25 56 42  2 50 99 31 57  3 29 72 60 11 71 90 39 28 78 98 98 65  5  8 65 77 22 35 58 84 57 70 24  7 52 17 57 59 89 96 100 94 72  1 39 71 97 53 71 50 
89 33  9 55  8 37 83 24  0 79 26 54 93 44 14 72  3 85 43 78 86 71 100 91 62 45 91 43  2 77  1 70 75 49 61 99 46 88 62 75 15 89 46 82 86 61  8 90 22 68 57 79 21 17 47 32 82 40 21 65 
95 66 63 99 62 94 78 28 79  0  1  1  7 91 27 47 95 45 65 46 46 100 46 51 51 89 83 89  3 87 47 40 84 96 73 11 27 85 65 34 85 21  1 94 80 91 74 57 33 35 51 72 37 24 30 12 85 36  2 89 
