facilities = 7 objectives = 2 max_distances = 100 max flows = 100 correlation = 0.000000 seed = 23453464
 0 41 81 82  4 82 39 
41  0 28 14 36 82 17 
81 28  0 91 49 67 21 
82 14 91  0 17 48 61 
 4 36 49 17  0 89  5 
82 82 67 48 89  0 22 
39 17 21 61  5 22  0 

 0 24  8  4  7 77 75 
24  0 61 81  3 19 75 
 8 61  0 86 26 49 69 
 4 81 86  0 26  5 30 
 7  3 26 26  0 14 65 
77 19 49  5 14  0  1 
75 75 69 30 65  1  0 

 0 79 88 69 92 14 89 
79  0 16 19 46 67 25 
88 16  0 83 59 69 35 
69 19 83  0 34 18 95 
92 46 59 34  0 61 52 
14 67 69 18 61  0 27 
89 25 35 95 52 27  0 
