facilities = 7 objectives = 4 max_distances = 100 max flows = 100 correlation = 0.000000 seed = 1224086043
 0 19 95 91 80 87 19 
19  0 52 87 33 57 64 
95 52  0 91  4 95 20 
91 87 91  0 87 88 98 
80 33  4 87  0 21 16 
87 57 95 88 21  0 20 
19 64 20 98 16 20  0 

 0 58 85  6 89 76 92 
58  0 50 68 59 14 38 
85 50  0 33 75 48 49 
 6 68 33  0 20 33 47 
89 59 75 20  0 71 14 
76 14 48 33 71  0 82 
92 38 49 47 14 82  0 

 0 18 94 76 55 55 85 
18  0 79 55 14 44 77 
94 79  0 69 42 12 38 
76 55 69  0  2 76 90 
55 14 42  2  0 70 60 
55 44 12 76 70  0 72 
85 77 38 90 60 72  0 

 0 16 26 47 29 98 64 
16  0 39 75 76 70 47 
26 39  0 77  1 46 92 
47 75 77  0 82 42 35 
29 76  1 82  0 40 55 
98 70 46 42 40  0 23 
64 47 92 35 55 23  0 

 0 27 68 65 17 46 35 
27  0 15 20 86 58 21 
68 15  0 65 90 82 97 
65 20 65  0 63 23 14 
17 86 90 63  0 48 66 
46 58 82 23 48  0 23 
35 21 97 14 66 23  0 
