20 2

 0 119 106 57 99 36 109 36 56 76 66 115 53 122 54 104 55 37 39 70 
119  0 122 64 25 111 106 84 96 73 62 75 117 106 65 57 139 104 82 86 
106 122  0 111 123 70 187 105 52 54 123 173 54 196 99 66 160 131 84 47 
57 64 111  0 42 64 76 21 63 59 12 66 77 85 12 73 76 40 32 64 
99 25 123 42  0 98 84 63 88 70 38 56 107 85 46 65 114 80 66 81 
36 111 70 64 98  0 133 47 23 49 76 129 17 144 54 79 90 66 32 39 
109 106 187 76 84 133  0 85 138 135 65 35 149 14 88 143 79 71 105 140 
36 84 105 21 63 47 85  0 53 59 30 83 63 96 19 81 64 28 21 59 
56 96 52 63 88 23 138 53  0 27 75 129 20 148 51 57 108 78 32 15 
76 73 54 59 70 49 135 59 27  0 70 119 47 143 47 30 122 88 40 13 
66 62 123 12 38 76 65 30 75 70  0 53 90 72 24 81 76 42 44 76 
115 75 173 66 56 129 35 83 129 119 53  0 143 31 77 120 101 80 98 127 
53 117 54 77 107 17 149 63 20 47 90 143  0 160 66 77 108 83 45 34 
122 106 196 85 85 144 14 96 148 143 72 31 160  0 97 148 94 85 115 149 
54 65 99 12 46 54 88 19 51 47 24 77 66 97  0 64 82 46 22 52 
104 57 66 73 65 79 143 81 57 30 81 120 77 148 64  0 145 109 65 42 
55 139 160 76 114 90 79 64 108 122 76 101 108 94 82 145  0 36 81 119 
37 104 131 40 80 66 71 28 78 88 42 80 83 85 46 109 36  0 48 87 
39 82 84 32 66 32 105 21 32 40 44 98 45 115 22 65 81 48  0 38 
70 86 47 64 81 39 140 59 15 13 76 127 34 149 52 42 119 87 38  0 

 0  0  4  0 105 4442 14 1387  5 21  0 336 1888  0 2507  2 608  0 862 105 
 0  0  0  0 618  4  0 42 2876  2 9377  0  0 7051  2  0 518 849  3 35 
 4  0  0 3509 5984 880 19 25  0 870  0 243 20  0  5  3  0  9  0  3 
 0  0 3509  0  0  0  4 341 15 2180  0 20 4824  0  0 4689  0 57 907  0 
105 618 5984  0  0 7550  9  1  6  0 9883 59  1 14 5740  1 554 1219  0 30 
4442  4 880  0 7550  0 44 1083 2978 272  0 3851 2313 898 2751 431 8336 2383  5 27 
14  0 19  4  9 44  0 165 178  0  0  2 613 137 62  0 82 14 3131 52 
1387 42 25 341  1 1083 165  0 4292 6198  1  4  0  0  0 50 208 151 2728 3162 
 5 2876  0 15  6 2978 178 4292  0  0  0  0  0 9569  0 40 1119  7  0  0 
21  2 870 2180  0 272  0 6198  0  0 3524 5437 19 2171  0  0  3 87 10 2082 
 0 9377  0  0 9883  0  0  1  0 3524  0 9644 5313 20 28  0 1460  0 105 421 
336  0 243 20 59 3851  2  4  0 5437 9644  0  0 2553 213 380  7  0  0  0 
1888  0 20 4824  1 2313 613  0  0 19 5313  0  0 47  2 136 2888  1  0  0 
 0 7051  0  0 14 898 137  0 9569 2171 20 2553 47  0 16  0 4662 563 12 57 
2507  2  5  0 5740 2751 62  0  0  0 28 213  2 16  0 301 80 32  0 1930 
 2  0  3 4689  1 431  0 50 40  0  0 380 136  0 301  0  0 334 2992  0 
608 518  0  0 554 8336 82 208 1119  3 1460  7 2888 4662 80  0  0  2  5 337 
 0 849  9 57 1219 2383 14 151  7 87  0  0  1 563 32 334  2  0 2130 4945 
862  3  0 907  0  5 3131 2728  0 10 105  0  0 12  0 2992  5 2130  0 540 
105 35  3  0 30 27 52 3162  0 2082 421  0  0 57 1930  0 337 4945 540  0 

 0 103  0 6163 7334 194 191  0 15  0 17  0  9  3  0 3340  5 952  0 3103 
103  0 20 709  2  0 1348  3 555 2360  2 39 692 3227 326  0  8  0  0 4974 
 0 20  0 2523  0  2 40 1754 548  0 43  1  0  0  0  0 311 60 46 26 
6163 709 2523  0 4438 15 24 40 14  0 4494 742  0  6  0 385  2  0 7163 58 
7334  2  0 4438  0 1396 47  0  0 42 449 360  0  0 1279 2001 19 1126  1  0 
194  0  2 15 1396  0  4 1834  0 1688  0 84  0 92  0 10  6 8836  0  0 
191 1348 40 24 47  4  0  0  0 1031 1445  0  2  7 289 771 407 15 5908 67 
 0  3 1754 40  0 1834  0  0 317 34 26  0  2 2866  1  0 60  0  2  0 
15 555 548 14  0  0  0 317  0  0 84  0  0 44  2  0  0 8247  0 454 
 0 2360  0  0 42 1688 1031 34  0  0  0 778 1383  0 61  0  7 22 18 2567 
17  2 43 4494 449  0 1445 26 84  0  0 358  9  1  1 61  0 796  0 3844 
 0 39  1 742 360 84  0  0  0 778 358  0  0 163 263 21  0 691 709 41 
 9 692  0  0  0  0  2  2  0 1383  9  0  0  0  2  1 6890 666 113 106 
 3 3227  0  6  0 92  7 2866 44  0  1 163  0  0 2546  0 3131 3154  2  0 
 0 326  0  0 1279  0 289  1  2 61  1 263  2 2546  0 5403  9 2142  0 3084 
3340  0  0 385 2001 10 771  0  0  0 61 21  1  0 5403  0 11  7  0  4 
 5  8 311  2 19  6 407 60  0  7  0  0 6890 3131  9 11  0 1742  0  4 
952  0 60  0 1126 8836 15  0 8247 22 796 691 666 3154 2142  7 1742  0 9954 15 
 0  0 46 7163  1  0 5908  2  0 18  0 709 113  2  0  0  0 9954  0  0 
3103 4974 26 58  0  0 67  0 454 2567 3844 41 106  0 3084  4  4 15  0  0 
