;; items: 100;   objectives: 1;   slack: 0.33

100
1
14699

   271  8068
   225  9614
   107  3237
   265  7425
   112  3581
   219  5602
   144  3699
   487  9762
   455  7187
   316  1076
   237  3089
   314  4828
   141  2156
   306  3187
   308  7371
   116  7383
   460  5787
   183  1098
   382  2115
   257  7243
   498  2319
   342  4544
   301  4725
   176  5158
   321  9136
   248  7938
   448  3613
   300  9450
   400  2303
   175  8940
   278  5125
   399  7507
   293  9626
   166  8675
   456  5261
   450  9471
   462  7325
   116  1324
   163  1563
   253  5049
   357  4667
   402  8467
   461  9114
   162  7436
   313  9005
   378  1716
   410  3433
   265  9700
   219  8941
   416  7207
   445  2581
   297  3750
   156  4488
   212  6781
   254  5814
   389  7308
   475  6029
   171  3524
   232  8364
   204  7949
   479  9182
   133  3962
   242  7442
   285  7851
   455  4233
   354  5903
   252  2962
   281  5946
   177  9713
   275  9340
   395  1613
   467  3666
   192  8954
   351  8128
   482  7999
   190  2749
   348  1955
   489  2004
   384  4816
   228  2022
   136  5016
   297  2619
   342  7530
   291  9480
   260  7858
   420  9088
   266  3671
   120  7879
   163  1579
   439  5767
   228  5559
   293  9746
   363  5577
   307  9565
   483  7660
   336  3754
   414  8613
   197  4656
   415  1426
   389  6483

