;; items: 20	objectives: 10	slack: 8	
20 10 200
33 37 72 69 57 81 27 83 14 95 18 
47 31 78 77 85 85 35 60 79 58 1 
22 28 83 58 2 77 68 97 45 77 61 
33 45 33 46 52 95 24 85 91 60 32 
45 93 22 41 74 88 62 15 78 67 27 
12 98 78 57 12 35 87 17 30 69 77 
7 2 27 33 26 52 94 72 59 82 53 
24 35 77 42 6 27 16 82 11 73 78 
9 38 21 42 18 5 99 92 99 22 96 
10 70 42 13 63 36 58 24 80 53 3 
16 84 4 53 82 55 3 99 80 6 27 
14 37 56 73 26 73 26 82 69 29 60 
33 77 87 42 42 30 22 13 58 76 51 
36 52 92 22 12 65 90 34 81 61 59 
35 54 86 54 39 10 91 44 19 37 52 
37 70 81 56 70 14 99 15 38 49 19 
44 46 42 69 3 73 15 82 48 65 5 
20 34 68 46 65 65 51 85 62 98 63 
38 44 73 27 96 42 93 47 52 43 95 
29 82 46 47 82 91 2 42 82 6 28 
