;; items: 100;   objectives: 1;   slack: 0.25

100
112437

   9789  14542
   7172  12506
   6662  13924
  10000  12557
   9488  12323
   9771  12159
   5935  10221
   8176  14658
   6007  14913
   5591  10800
   6777  11284
   7720  12879
   9369  14168
   8549  12668
   5371  10582
   8544  14530
   6229  11165
   9267  14803
   6176  12090
   5309  14196
   7119  10483
   5867  13843
   6865  10778
   5725  13183
   9094  10477
   5014  14050
   8636  11387
   6883  13036
   6741  11210
   8962  12825
   5165  13173
   7192  12221
   9644  10685
   8724  12031
   9571  11054
   7486  14196
   7438  14427
   5488  11885
   7689  14306
   8683  10518
   8862  14459
   5453  13937
   5816  12232
   5596  12036
   8668  10332
   5432  10298
   9811  14447
   6140  11545
   6967  12139
   5355  10476
   5155  10313
   9553  12258
   6260  10994
   8320  13340
   7794  13726
   9391  11906
   7692  13432
   6622  14006
   6181  13154
   8178  14530
   9339  11877
   6056  10924
   8933  14744
   8996  12734
   8772  13815
   6768  14390
   6069  13058
   6753  10040
   6438  14045
   6941  13503
   9968  12264
   5372  14632
   6120  14145
   7043  10854
   5233  11853
   7900  12104
   6688  12062
   9761  10214
   9875  13603
   9826  14138
   9493  10732
   7036  11711
   6692  11162
   5921  14794
   9807  12771
   8965  11064
   8090  11617
   6672  11920
   8658  10150
   6828  12039
   7820  13744
   6073  10639
   6910  12391
   6850  11153
   8235  13457
   7142  14460
   8122  12397
   9548  14767
   8759  11938
   6338  14407

